   1.1444702995855437e-01   4.2867041938436249e-03
   1.4044163225675994e+00  -5.0504361534616252e-02
   2.4044248574135962e+00  -5.0506587882047892e-02
   2.9449816143379706e+00  -3.0664604424779948e-03
   3.3781583091104861e+00   5.5005425731328342e-02
   3.6452694215580519e+00   1.4298158499543950e-01
   3.7537418255039765e+00   2.4488299384862550e-01
   3.9750855391286311e+00   3.4805258143548407e-01
   4.0750235308095055e+00   5.4181605097915464e-01
   4.3431951040962282e+00   7.4338886920795066e-01
   4.2667697905444824e+00   9.2166488856518825e-01
   3.9750991876450517e+00   1.3480506131768879e+00
