526	0.02052	0.01388	0.01817	0.01276	0.01905	0.02438	0.01728	0.01871	0.02594	0.04495	0.03086	0.03071	0.03076	0.03364
528	0.02222	0.01391	0.01739	0.01147	0.01661	0.02211	0.01586	0.01727	0.02398	0.04272	0.02951	0.02848	0.02818	0.03126
530	0.02409	0.01497	0.01751	0.01038	0.01551	0.01993	0.01548	0.01593	0.02234	0.041	0.02753	0.02673	0.02445	0.02925
532	0.02587	0.0159	0.01798	0.0102	0.01531	0.01941	0.01515	0.01586	0.02107	0.03958	0.0247	0.02431	0.02083	0.02692
534	0.02744	0.01645	0.01818	0.01058	0.0148	0.01939	0.01397	0.01539	0.01969	0.03733	0.02157	0.02121	0.01836	0.02435
536	0.02851	0.01662	0.01751	0.01027	0.01475	0.01896	0.01338	0.01415	0.01783	0.03524	0.01892	0.01838	0.01622	0.02151
538	0.02963	0.01689	0.01701	0.01017	0.01482	0.01868	0.01311	0.01259	0.01664	0.03383	0.01708	0.01631	0.01361	0.01911
540	0.03098	0.01806	0.01775	0.0102	0.01402	0.01839	0.01225	0.01129	0.01615	0.03197	0.01501	0.01423	0.01088	0.01678
542	0.03249	0.02029	0.01923	0.01026	0.01452	0.01809	0.01155	0.01102	0.01589	0.02991	0.01277	0.01265	0.0091	0.01434
544	0.03442	0.02257	0.02029	0.01108	0.01568	0.0184	0.01185	0.01186	0.01552	0.02853	0.01207	0.01079	0.00876	0.01231
546	0.0366	0.02397	0.02151	0.01297	0.01726	0.02044	0.0123	0.01263	0.01515	0.02743	0.01081	0.00901	0.00777	0.01097
548	0.03814	0.02538	0.02305	0.01402	0.01783	0.02121	0.01148	0.01269	0.01451	0.02645	0.00872	0.00803	0.00645	0.01003
550	0.0383	0.02633	0.02372	0.01361	0.01726	0.02014	0.0112	0.01229	0.0138	0.02613	0.00789	0.00622	0.00537	0.00907
552	0.03783	0.02649	0.0231	0.01236	0.01564	0.01853	0.01104	0.01125	0.01327	0.02589	0.00677	0.00441	0.00398	0.00779
554	0.03852	0.02777	0.02402	0.01227	0.0156	0.01849	0.01164	0.01077	0.01326	0.02559	0.00698	0.00432	0.00313	0.00698
556	0.04053	0.02983	0.02635	0.01413	0.01771	0.02042	0.01275	0.01167	0.01389	0.02548	0.00821	0.00445	0.00244	0.0066
558	0.04332	0.03272	0.02894	0.01627	0.01989	0.02209	0.01374	0.01342	0.01513	0.02535	0.00792	0.0043	0.0019	0.00622
560	0.04531	0.03581	0.03133	0.01852	0.02171	0.02367	0.01583	0.01505	0.01566	0.02545	0.00687	0.00426	0.00168	0.00571
562	0.04672	0.03804	0.03366	0.02166	0.02469	0.02603	0.01771	0.01673	0.01631	0.02655	0.00687	0.00501	0.0014	0.00555
564	0.04796	0.03982	0.0353	0.02426	0.0269	0.02786	0.01946	0.01847	0.01852	0.02809	0.00802	0.00544	0.00206	0.00583
566	0.04952	0.04221	0.03739	0.02584	0.028	0.02967	0.02096	0.02042	0.02052	0.02938	0.00964	0.00517	0.00322	0.00638
568	0.05246	0.04478	0.04084	0.02832	0.03047	0.03221	0.02245	0.02258	0.0219	0.03081	0.01121	0.00636	0.00393	0.00734
570	0.0565	0.04798	0.04496	0.03231	0.03384	0.03546	0.02552	0.02506	0.02387	0.03263	0.01266	0.00883	0.00466	0.00825
572	0.0616	0.05332	0.04996	0.03715	0.03751	0.03966	0.02933	0.02799	0.02635	0.03503	0.0136	0.01077	0.00649	0.00916
574	0.06702	0.05901	0.05485	0.04213	0.04266	0.04397	0.0332	0.0317	0.0295	0.0376	0.01519	0.01174	0.00896	0.01074
576	0.07131	0.0641	0.05922	0.04683	0.04829	0.04747	0.03709	0.03604	0.03307	0.03964	0.01784	0.01355	0.01076	0.01206
578	0.07455	0.06935	0.06363	0.05109	0.05244	0.05075	0.04067	0.03983	0.03611	0.04224	0.0199	0.01615	0.01201	0.01341
580	0.07759	0.07396	0.06829	0.05473	0.0557	0.05508	0.04365	0.04287	0.03899	0.04502	0.02127	0.01843	0.01382	0.0157
582	0.08066	0.07714	0.07252	0.05826	0.05919	0.05912	0.0471	0.04544	0.0421	0.04793	0.02342	0.02122	0.01598	0.01751
584	0.08336	0.08038	0.07592	0.06185	0.06302	0.06325	0.0505	0.04804	0.0447	0.0511	0.02699	0.02415	0.01822	0.01918
586	0.08592	0.08488	0.0798	0.06537	0.06696	0.06689	0.05323	0.05139	0.04758	0.05382	0.03069	0.02626	0.02083	0.02224
588	0.08919	0.09001	0.08473	0.06957	0.0712	0.06998	0.05798	0.0552	0.05124	0.05721	0.03451	0.02858	0.02297	0.02471
590	0.09303	0.09444	0.09025	0.07365	0.07665	0.07498	0.06268	0.05907	0.05433	0.06098	0.03814	0.03095	0.02462	0.02631
592	0.09757	0.10028	0.09614	0.07783	0.08265	0.08218	0.0676	0.06344	0.0577	0.06458	0.04107	0.03401	0.02718	0.02851
594	0.10326	0.10816	0.10308	0.08346	0.08794	0.08879	0.07353	0.06816	0.06205	0.0693	0.04417	0.03776	0.03028	0.0303
596	0.11112	0.11688	0.11174	0.09081	0.09526	0.09577	0.08046	0.07425	0.06845	0.07429	0.04799	0.04046	0.0329	0.03139
598	0.11978	0.1274	0.12163	0.09872	0.1045	0.10443	0.08875	0.08119	0.07445	0.07832	0.05195	0.04373	0.03588	0.03394
600	0.12911	0.13966	0.13316	0.10717	0.11504	0.11429	0.09737	0.08829	0.08027	0.08257	0.05599	0.04727	0.03832	0.03736
602	0.14141	0.15214	0.14519	0.11607	0.12521	0.1231	0.10587	0.09592	0.08724	0.08761	0.05902	0.04972	0.03972	0.04048
604	0.15815	0.16698	0.15941	0.12909	0.13733	0.13473	0.11565	0.10603	0.0945	0.09358	0.06291	0.05205	0.04324	0.04265
606	0.17818	0.18624	0.17655	0.14549	0.15316	0.15143	0.129	0.1194	0.10253	0.10029	0.06856	0.05499	0.04685	0.04361
608	0.20216	0.20904	0.19641	0.1643	0.17129	0.16956	0.14487	0.13495	0.11434	0.10755	0.07484	0.05951	0.04952	0.0456
610	0.22881	0.23195	0.21689	0.18519	0.19046	0.18654	0.16044	0.15196	0.12857	0.11529	0.08004	0.06521	0.05254	0.04957
612	0.26039	0.25922	0.24187	0.21091	0.21357	0.20624	0.1795	0.17214	0.14413	0.12657	0.08553	0.0705	0.05665	0.05312
614	0.29709	0.29408	0.2747	0.24234	0.24387	0.23378	0.2042	0.19564	0.16265	0.13994	0.0935	0.07584	0.06102	0.05589
616	0.33898	0.33438	0.31367	0.27798	0.27862	0.2673	0.23442	0.22346	0.18384	0.15334	0.10266	0.0815	0.06558	0.05837
618	0.38685	0.37919	0.35752	0.31836	0.31637	0.30433	0.26786	0.25709	0.20764	0.16797	0.11202	0.08692	0.06918	0.06153
620	0.4377	0.42377	0.40123	0.36185	0.35605	0.34222	0.30024	0.29238	0.23275	0.18317	0.12118	0.09265	0.07288	0.06605
622	0.4871	0.4611	0.43654	0.40332	0.39256	0.37387	0.32878	0.32473	0.25923	0.19988	0.12984	0.09956	0.07765	0.06986
624	0.52751	0.49085	0.46454	0.43884	0.42163	0.39755	0.35214	0.35214	0.28576	0.21605	0.13874	0.10619	0.08267	0.07362
